,Backdoor,Benign,DDoS,DoS,injection,mitm,password,ransomware,scanning,xss
Backdoor,0,636,1034,1,5,0,4,0,0,1
Benign,0,564611,9839,4590,2060,42,13233,1,12204,3367
DDoS,0,31738,135408,1838,709,0,30695,0,331,1904
DoS,0,37501,380,21207,8,0,7,0,0,12158
injection,0,1179,15008,1072,14968,0,33481,0,2,2736
mitm,0,236,8,199,7,26,24,0,0,272
password,0,6485,4651,75,11156,5,89314,0,3250,396
ransomware,0,65,6,0,10,0,217,0,12,32
scanning,0,311353,3550,100,150,0,2028,0,60721,240
xss,0,12833,2589,28173,6708,7,109299,0,0,85893
