,Backdoor,Benign,DDoS,DoS,injection,mitm,password,ransomware,scanning,xss
Backdoor,0.0,0.37834622248639005,0.6151100535391939,0.0005948839976201102,0.0029744199881005504,0.0,0.0023795359904804406,0.0,0.0,0.0005948839976201102
Benign,0.0,0.9256722305380616,0.016130909734780208,0.0075252439966095284,0.0033773426215720323,6.885844179904144e-05,0.021695327626826556,1.6394867095009866e-06,0.02000829580275004,0.005520151750889822
DDoS,0.0,0.15663572249941934,0.6682755659525292,0.009071033396998322,0.003499109183064097,0.0,0.1514882318394252,0.0,0.0016335756552809818,0.009396761473277913
DoS,0.0,0.5262485791667177,0.00533251006862091,0.2975961605927464,0.00011226336986570336,0.0,9.823044863249044e-05,0.0,0.0,0.17061225635340269
injection,0.0,0.017225257867515744,0.2192677439149078,0.0156619817082077,0.21868334161236275,0.0,0.4891593372877817,0.0,2.9220115127253174e-05,0.03997311749408234
mitm,0.0,0.305699481864889,0.010362694300504712,0.25777202072505473,0.009067357512941623,0.033678756476640315,0.031088082901514134,0.0,0.0,0.3523316062171602
password,0.0,0.056228973745360726,0.04032705580411299,0.0006502965352200547,0.09672944195886574,4.3353102348003644e-05,0.7744077966219195,0.0,0.028179516526202368,0.0034335657059618887
ransomware,0.0,0.190058479531608,0.01754385964907151,0.0,0.02923976608178585,0.0,0.6345029239747529,0.0,0.03508771929814302,0.09356725146171471
scanning,0.0,0.8233758746714176,0.009388007679654708,0.00026445092055365376,0.00039667638083048064,0.0,0.005363064668828098,0.0,0.1605772434693841,0.000634682209328769
xss,0.0,0.05227248657852054,0.010545738934916985,0.11475670259305377,0.027323606324999278,2.8513006004024294e-05,0.44520614903340733,0.0,0.0,0.34986680352909405
