dataset,task,model,seed,class,precision,recall,f1,support
NF-UNSW-NB15-v2,multiclass,edge_mlp,11,Analysis,0.15488353085410708,0.8459821428571429,0.2618307426597582,448.0
NF-UNSW-NB15-v2,multiclass,edge_mlp,11,Backdoor,0.14173228346456693,0.125,0.13284132841328414,432.0
NF-UNSW-NB15-v2,multiclass,edge_mlp,11,Benign,0.9980840980135122,0.9898,0.9939247878696591,10000.0
NF-UNSW-NB15-v2,multiclass,edge_mlp,11,DoS,0.2214484679665738,0.13910761154855644,0.1708758731864589,1143.0
NF-UNSW-NB15-v2,multiclass,edge_mlp,11,Exploits,0.8819196428571429,0.6320588705807071,0.7363712608331003,6251.0
NF-UNSW-NB15-v2,multiclass,edge_mlp,11,Fuzzers,0.7700534759358288,0.6532093445225675,0.706835194502393,4409.0
NF-UNSW-NB15-v2,multiclass,edge_mlp,11,Generic,0.9746192893401016,0.7058823529411765,0.8187633262260128,3264.0
NF-UNSW-NB15-v2,multiclass,edge_mlp,11,Reconnaissance,0.6589122917321597,0.8197105983574501,0.7305681422098292,2557.0
NF-UNSW-NB15-v2,multiclass,edge_mlp,11,Shellcode,0.21153846153846154,0.668918918918919,0.32142857142857145,296.0
NF-UNSW-NB15-v2,multiclass,edge_mlp,11,Worms,0.04903417533432392,0.8918918918918919,0.09295774647887324,37.0
NF-UNSW-NB15-v2,multiclass,edge_mlp,22,Analysis,0.15541090317331163,0.8526785714285714,0.2629043358568479,448.0
NF-UNSW-NB15-v2,multiclass,edge_mlp,22,Backdoor,0.14910025706940874,0.13425925925925927,0.14129110840438489,432.0
NF-UNSW-NB15-v2,multiclass,edge_mlp,22,Benign,0.9982854261220373,0.9898,0.99402460456942,10000.0
NF-UNSW-NB15-v2,multiclass,edge_mlp,22,DoS,0.2233632862644416,0.15223097112860892,0.18106139438085328,1143.0
NF-UNSW-NB15-v2,multiclass,edge_mlp,22,Exploits,0.8791133455210237,0.6154215325547913,0.7240048931965748,6251.0
NF-UNSW-NB15-v2,multiclass,edge_mlp,22,Fuzzers,0.7613351877607789,0.6207756860966206,0.6839080459770115,4409.0
NF-UNSW-NB15-v2,multiclass,edge_mlp,22,Generic,0.9808510638297873,0.7061887254901961,0.8211613822586391,3264.0
NF-UNSW-NB15-v2,multiclass,edge_mlp,22,Reconnaissance,0.6281212841854935,0.8263590144700821,0.7137307887181219,2557.0
NF-UNSW-NB15-v2,multiclass,edge_mlp,22,Shellcode,0.19746568109820486,0.6317567567567568,0.3008849557522124,296.0
NF-UNSW-NB15-v2,multiclass,edge_mlp,22,Worms,0.04969879518072289,0.8918918918918919,0.09415121255349501,37.0
NF-UNSW-NB15-v2,multiclass,edge_mlp,33,Analysis,0.1546644844517185,0.84375,0.26141078838174275,448.0
NF-UNSW-NB15-v2,multiclass,edge_mlp,33,Backdoor,0.14285714285714285,0.12037037037037036,0.1306532663316583,432.0
NF-UNSW-NB15-v2,multiclass,edge_mlp,33,Benign,0.998285253177325,0.9897,0.9939740885808979,10000.0
NF-UNSW-NB15-v2,multiclass,edge_mlp,33,DoS,0.2441860465116279,0.14698162729658792,0.18350628072091754,1143.0
NF-UNSW-NB15-v2,multiclass,edge_mlp,33,Exploits,0.8734344100197758,0.6358982562789953,0.7359748194778745,6251.0
