dataset,task,model,seed,seconds_fit_and_evaluate,best_epoch,epochs_ran,parameters,peak_rss_kib_process,val_macro_f1,val_weighted_f1,val_accuracy,test_macro_f1,test_weighted_f1,test_accuracy
NF-UNSW-NB15-v2,multiclass,edge_mlp,11,40.79199965400039,60,60,6410,704580,0.4955772639605885,0.7860160588594022,0.7595378093805552,0.496639697380794,0.786067492546326,0.7612442348371883
NF-UNSW-NB15-v2,multiclass,edge_mlp,22,42.5663913999997,58,60,6410,704748,0.4895316281800233,0.7781417587438346,0.7509230138110214,0.4917122721667561,0.7790321185651102,0.7536845025488088
NF-UNSW-NB15-v2,multiclass,edge_mlp,33,42.90874634599823,60,60,6410,704748,0.4938629925683876,0.7851171547579503,0.7589224668398742,0.4945372552770489,0.7840926447060141,0.7600305163505219
NF-UNSW-NB15-v2,multiclass,sage,11,271.65518965499905,57,60,88586,928764,0.5943418089660837,0.8464574887129285,0.8198413783672911,0.5790104085052574,0.8405067001287023,0.8170406075527967
NF-UNSW-NB15-v2,multiclass,sage,22,198.8605105650004,37,47,88586,928764,0.586277417577071,0.8417497175081083,0.8178586079584302,0.5798569408158707,0.8393449253601203,0.8162430211187016
NF-UNSW-NB15-v2,multiclass,sage,33,231.9959185280004,58,60,88586,943824,0.5977602628796742,0.8455377766298801,0.8199781211541092,0.5859765314591053,0.8414997622473467,0.8190172348025107
NF-UNSW-NB15-v2,multiclass,sage_edge,11,264.2451270370002,44,54,88976,957588,0.5984041938906259,0.8469670091667939,0.824353890332285,0.5860103306973673,0.8404905593142786,0.8201269202760343
NF-UNSW-NB15-v2,multiclass,sage_edge,22,209.3483134750004,38,48,88976,961244,0.5898026387804994,0.842887489662017,0.8172432654177492,0.579579500129285,0.8367442299661818,0.8139889725006069
NF-UNSW-NB15-v2,multiclass,sage_edge,33,228.07742921799945,57,60,88976,984892,0.5905144730393276,0.8442534017078248,0.8166962942704772,0.5814193561067367,0.8405050935545559,0.8148905919478447
NF-UNSW-NB15-v2,binary,edge_mlp,11,22.56638303900036,21,31,5378,984892,0.9969579229748012,0.997263690118125,0.99726514426364,0.9967819949734084,0.9970856325204271,0.9970870756320006
