model,attack,support,mean_f1,sd_f1
edge_mlp,Backdoor,11,0.12086584183511939,0.04259549952818453
edge_mlp,Benign,3580,0.8084467993892392,0.004195170623144282
edge_mlp,DDoS,1208,0.7415230356623915,0.026325272210247427
edge_mlp,DoS,427,0.5200704228886887,0.009602393947099733
edge_mlp,injection,391,0.3582679985278128,0.10124893567577518
edge_mlp,mitm,5,0.011904761904761904,0.020619652471058063
edge_mlp,password,683,0.5546101365805165,0.05481410107315289
edge_mlp,ransomware,2,0.007393001565251442,0.0024652878221977153
edge_mlp,scanning,2213,0.8130653631785266,0.0008704632476262584
edge_mlp,xss,1480,0.312232542251447,0.2784167120022225
sage,Backdoor,11,0.6616138978308409,0.39490732262337797
sage,Benign,3580,0.7746327658485299,0.18484171240545622
sage,DDoS,1208,0.8250940109204931,0.05618175482392045
sage,DoS,427,0.5667104244133414,0.08248871887755371
sage,injection,391,0.42949885269142957,0.10784099724695041
sage,mitm,5,0.0027662517289073307,0.004791288540992744
sage,password,683,0.6225221787487545,0.12626869578313143
sage,ransomware,2,0.2898697784542533,0.32963714319149134
sage,scanning,2213,0.7135842797342596,0.32098871672049084
sage,xss,1480,0.48025900941389627,0.415920254732098
sage_edge,Backdoor,11,0.8959156785243741,0.022820168742672953
sage_edge,Benign,3580,0.8961995771873444,0.011456853165588319
sage_edge,DDoS,1208,0.866833153861076,0.010971542592982945
sage_edge,DoS,427,0.6223389739445326,0.00966311158018913
sage_edge,injection,391,0.4896119240668157,0.024331868463402236
sage_edge,mitm,5,0.005698005698005698,0.009869235370762836
sage_edge,password,683,0.7106490147513685,0.007189152102302985
sage_edge,ransomware,2,0.1402116402116402,0.027872099875271793
sage_edge,scanning,2213,0.9212247603705918,0.007042598949711218
sage_edge,xss,1480,0.7346499337080438,0.017448756365363995
random_forest,Backdoor,11,0.9523809523809522,1.3597399555105182e-16
random_forest,Benign,3580,0.9848198770761071,0.0012531627537414936
random_forest,DDoS,1208,0.9753797116861359,0.0012308954197056572
random_forest,DoS,427,0.9022901700798229,0.0017340124652670736
random_forest,injection,391,0.8227007727411776,0.006252770179975419
random_forest,mitm,5,0.0,0.0
random_forest,password,683,0.9267368103282075,0.004722773190373349
random_forest,ransomware,2,1.0,0.0
random_forest,scanning,2213,0.9814521769411856,0.0014675116650707783
random_forest,xss,1480,0.9520828677290659,0.0016688081747768678
