model,seed,seconds_fit_and_evaluate,best_epoch,epochs_ran,parameters,val_macro_f1,val_weighted_f1,val_accuracy,test_macro_f1,test_weighted_f1,test_accuracy
edge_mlp,11,19.041252705000037,74.0,94,6410.0,0.469017185782867,0.7195598828677048,0.697,0.4675477900108287,0.7246116330937185,0.7006
edge_mlp,22,14.796757511000123,65.0,85,6410.0,0.4350305281002999,0.684653323204152,0.6582,0.4360351344291497,0.6906693860020136,0.6625
edge_mlp,33,13.492435620999911,22.0,42,6410.0,0.3742134981328973,0.6222322704178453,0.6196,0.370931046695148,0.6228507595527814,0.6171
sage,11,59.51496923000013,110.0,120,88586.0,0.6317979813752826,0.8302557097657071,0.8164,0.6243847740796638,0.8340086440082621,0.8214
sage,22,36.72156064199999,7.0,27,88586.0,0.4204087176580081,0.4311396490874504,0.4584,0.3797528901757304,0.4348024496566188,0.4615
sage,33,64.24157013199988,76.0,96,88586.0,0.6075186117213572,0.802508017854011,0.7934,0.6058277706800177,0.8020341822305529,0.7942
sage_edge,11,56.40176488999987,111.0,120,88976.0,0.6212185527864511,0.8316230584769073,0.8212,0.6340696407234832,0.8381520857500595,0.8293
sage_edge,22,51.97155126899997,115.0,120,88976.0,0.6391917396070398,0.8364226906880724,0.8308,0.6292396969522177,0.8330608686999672,0.8288
sage_edge,33,50.0315333609999,101.0,120,88976.0,0.6184666127108494,0.8204056913524278,0.8082,0.6216904610214369,0.8290456954945344,0.8191
random_forest,11,1.1176052150001397,,0,,0.8714741907207009,0.9611432117945564,0.9604,0.8492203384417036,0.9627555426865534,0.9626
random_forest,22,1.1207131290000234,,0,,0.83667131724751,0.961405530072721,0.9606,0.8499276841247635,0.9647651794211548,0.9646
random_forest,33,1.120691867000005,,0,,0.8395919839431543,0.96169559245587,0.961,0.8502049791223293,0.9636817279389174,0.9635
